job_title,company_name,time_posted,location
AI Business Analyst,Mandrill Tech Sdn Bhd,4 months ago,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia"
Machine Learning Engineer,Finexus Group,2 weeks ago,"WP. Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia"
"Intern - Data Scientist (Data Analytics), Mobility",Grab,1 week ago,"Petaling Jaya, Selangor, Malaysia"
Associate Data Scientist,Snappymob,1 week ago,"Taman Wilayah, Federal Territory of Kuala Lumpur, Malaysia"
AI Specialist,CelcomDigi,2 weeks ago,"Subang Jaya, Selangor, Malaysia"
AI Prompt Engineer,World MasterClass,1 month ago,"Puchong, Selangor, Malaysia"
SEA- Analytics & Digitalization Specialist/ Executive/ Senior Executive,Deloitte,2 weeks ago,"Federal Territory of Kuala Lumpur, Malaysia"
Data Manager,Teleport,4 weeks ago,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia"
Product Specialist AI/ML,r3 Consultant,1 week ago,"Cyberjaya, Selangor, Malaysia"
"Intern, Data Scientist (Analytics) - Deliveries",Grab,1 week ago,"Petaling Jaya, Selangor, Malaysia"
Machine Learning Scientist,MoneyLion,1 month ago,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia"
Graduate Trainee – Software Engineer,DHL,2 weeks ago,"Cyberjaya, Selangor, Malaysia"
Data Scientist (Internal Audit),Maxis,2 weeks ago,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia"
Freelance Automotive Engineer - AI Tutor (Talent pool),Mindrift,4 days ago,Malaysia
AI/ML Strategy Champion,Keysight Technologies,1 month ago,"Taman Pulau Pinang, Penang, Malaysia"
Product Analysis Sr. Specialist,Lenovo,3 weeks ago,"Petaling Jaya, Selangor, Malaysia"
Machine Learning Engineer,ThunderSoft,1 week ago,"Penang, Malaysia"
AI/ML Strategy Champion,Keysight Technologies,1 week ago,"Bayan Lepas, Penang, Malaysia"
Chief Technology Officer – Artificial Intelligence (Nasdaq Listed),PeopleLAKE Group,6 days ago,"Federal Territory of Kuala Lumpur, Malaysia"
Machine Learning Lead - MY868221,Morgan Philips Group,5 days ago,Malaysia
,,,
,,,
,,,
,,,
Generative AI Specialist,Experian Asia Pacific,1 day ago,"Cyberjaya, Selangor, Malaysia"
,,,
Full Stack Web Developer Intern,A Serious Company,9 months ago,"Taman Wilayah, Federal Territory of Kuala Lumpur, Malaysia"
